"","x"
"Gammaproteobacteria",0
"Enterobacteriaceae",1
"Enterobacteriales",0
"Prevotellaceae",1
"Paraprevotellaceae",0
"Myxococcales",0
"Lentisphaeria",0
"Victivallales",0
"Lentisphaerae",0
"Streptococcus",4
"Coriobacteriia",0
"Coriobacteriales",0
"Coriobacteriaceae",0
"Paraprevotella",1
"Blautia",3
"Erysipelotrichaceae",0
"symbiosum",2
"Desulfovibrionaceae",0
"Brevibacteriaceae",0
"Brevibacterium",0
"ramosum",0
"Sphingomonas",0
"Tepidimonas",0
"Microbacteriaceae",0
"hathewayi",1
"Staphylococcus",1
"adolescentis",1
"Rothia",0
"citroniae",0
"mucilaginosa",0
"distasonis",1
"Actinomyces",2
"stutzeri",0
"Alteromonadales",0
"Shewanella",0
"Shewanellaceae",0
"Bacilli",0
"Roseburia",2
"Parvimonas",6
"fragilis",3
